domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
btc-asia.f2pool.com,1314,stratum+tcp,UNKNOWN,BTC,SHA-256,Asia,open_source,https://github.com/cgminer-rs/cgminer-rs/blob/ba464f804bc6ed79465b5973213e99af0c1dc630/docs/stratum-testing.md,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query mining_subscribe; repo=cgminer-rs/cgminer-rs; path=docs/stratum-testing.md; review before promotion.
btc-eu.f2pool.com,3333,stratum+tcp,UNKNOWN,BTC,SHA-256,Europe,open_source,https://github.com/bboerst/stratum-work/blob/e3dcc5070085d3431d972a4d37a8c3ff1cd7f4ce/docker-compose.yml,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query docker_compose_stratum; repo=bboerst/stratum-work; path=docker-compose.yml; review before promotion.
btc.2miners.com,2020,stratum+tcp,UNKNOWN,BTC,SHA-256,Global,open_source,https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json.bak_ascii,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion.
btc.f2pool.com,1314,stratum+tcp,UNKNOWN,BTC,SHA-256,Global,open_source,https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json; https://github.com/cgminer-rs/cgminer-rs/blob/ba464f804bc6ed79465b5973213e99af0c1dc630/docs/stratum-testing.md,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json; review before promotion.
btc.secpool.com,3333,stratum+tcp,UNKNOWN,BTC,SHA-256,Global,open_source,https://github.com/bboerst/stratum-work/blob/e3dcc5070085d3431d972a4d37a8c3ff1cd7f4ce/docker-compose.yml,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query docker_compose_stratum; repo=bboerst/stratum-work; path=docker-compose.yml; review before promotion.
btc.ss.poolin.me,443,stratum+tcp,UNKNOWN,BTC,SHA-256,Global,open_source,https://github.com/bboerst/stratum-work/blob/e3dcc5070085d3431d972a4d37a8c3ff1cd7f4ce/docker-compose.yml,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query docker_compose_stratum; repo=bboerst/stratum-work; path=docker-compose.yml; review before promotion.
erg.2miners.com,8888,stratum+tcp,UNKNOWN,ERG,Autolykos v2,Global,open_source,https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json.bak_ascii,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion.
etc.2miners.com,1010,stratum+tcp,UNKNOWN,ETC,Etchash,Global,open_source,https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json.bak_ascii,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion.
ltc.2miners.com,6060,stratum+tcp,UNKNOWN,LTC,Scrypt,Global,open_source,https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json.bak_ascii,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion.
rvn.2miners.com,6060,stratum+tcp,UNKNOWN,RVN,KawPoW,Global,open_source,https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json.bak_ascii; https://github.com/Flofactionllc/flofaction-website-backup/blob/fe35390c9fea96ada1fb7e6be331bfed252fbfbe/optimized_mining_config.json,candidate,unknown,2026-04-27,2026-04-27,Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion.
