domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
erg.2miners.com,8888,stratum+tcp,2Miners,ERG,Autolykos v2,Europe,official,https://erg.2miners.com/help; https://erg.2miners.com/,confirmed,active,2026-04-17,2026-04-17,Official 2Miners ERG pool endpoint.
erg.2miners.com,18888,stratum+ssl,2Miners,ERG,Autolykos v2,Europe,official,https://erg.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Official 2Miners ERG SSL endpoint.
us-erg.2miners.com,8888,stratum+tcp,2Miners,ERG,Autolykos v2,USA,official,https://erg.2miners.com/help; https://erg.2miners.com/,confirmed,active,2026-04-17,2026-04-17,Official 2Miners ERG regional endpoint.
ethw.2miners.com,2020,stratum+tcp,2Miners,ETHW,Ethash,Europe,official,https://ethw.2miners.com/help,confirmed,active,2026-04-17,2026-04-17,Official 2Miners ETHW endpoint.
ss.antpool.com,3333,stratum+tcp,AntPool,BTC/BCH,SHA-256,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984340865177-BTC-BCH-Mining-Tutorial,confirmed,active,2026-04-17,2026-04-17,Official BTC/BCH stratum server.
stratum-etc.antpool.com,8008,stratum+tcp,AntPool,ETC,Etchash,Global,official,https://antpoolsupport-hc.zendesk.com/hc/en-us/articles/5984283054745-ETC-Mining-Instruction,confirmed,active,2026-04-17,2026-04-17,Official ETC stratum server.
btc-asia.f2pool.com,1314,stratum+tcp,F2Pool,BTC,SHA-256,Asia,official,https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Official regional BTC pool server.
btc.f2pool.com,3333,stratum+tcp,F2Pool,BTC,SHA-256,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool; https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Official BTC pool server; failover ports are tracked as separate records when included.
btcssl.f2pool.com,1300,stratum+ssl,F2Pool,BTC,SHA-256,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058669631-BTC-mining-guide,confirmed,active,2026-04-17,2026-04-17,Official SSL BTC pool server.
kas.f2pool.com,1430,stratum+tcp,F2Pool,KAS,kHeavyHash,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Official KAS pool server.
ltc.f2pool.com,8888,stratum+tcp,F2Pool,LTC,Scrypt,Global,official,https://f2pool.zendesk.com/hc/en-us/articles/360058887912-Mining-pools-info-payout-schemes-and-thresholds-at-f2pool,confirmed,active,2026-04-17,2026-04-17,Official LTC pool server.
btc.global.luxor.tech,700,stratum+tcp,Luxor,BTC,SHA-256,Global,official,https://docs.luxor.tech/mining/getting-started,confirmed,active,2026-04-17,2026-04-17,Official global BTC stratum.
ltc.global.luxor.tech,700,stratum+tcp,Luxor,LTC/DOGE,Scrypt,Global,official,https://docs.luxor.tech/mining/getting-started,confirmed,active,2026-04-17,2026-04-17,Official global LTC/DOGE stratum.
etchash.auto.nicehash.com,9200,stratum+tcp,NiceHash,AUTO,Etchash,Auto,aggregator,https://minerstat.com/help/how-to-set-up-nicehash-mining,candidate,unknown,2026-04-17,2026-04-17,Aggregator-derived candidate; does not enter watchlist until official or cross-source confirmation.
stratum.ravenminer.com,3838,stratum+tcp,RavenMiner,RVN,KawPoW,Global,official,https://www.ravenminer.com/ravencoin/howto,confirmed,active,2026-04-17,2026-04-17,Official universal RVN stratum endpoint.
us.ravenminer.com,3838,stratum+tcp,RavenMiner,RVN,KawPoW,USA,official,https://www.ravenminer.com/ravencoin/howto,confirmed,active,2026-04-17,2026-04-17,Official regional RVN endpoint.
bitcoin.viabtc.io,3333,stratum+tcp,ViaBTC,BTC,SHA-256,Global,official,https://support.viabtc.com/hc/en-us/articles/7207401012879-BTC-Mining,confirmed,active,2026-04-17,2026-04-17,Official smart mining URL.
btc.viabtc.io,3333,stratum+tcp,ViaBTC,BTC,SHA-256,Global,official,https://support.viabtc.com/hc/en-us/articles/7207401012879-BTC-Mining,confirmed,active,2026-04-17,2026-04-17,Official BTC mining URL.
