pool_name,website_domain,website_url,profile_url,directory_source,source_type,confidence,first_seen,last_seen,notes
0xPool,0xpool.me,https://0xpool.me/,https://minerstat.com/pools/0xpool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
2Miners,2miners.com,https://2miners.com/,https://minerstat.com/pools/2miners,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
2miners.com,ae.2miners.com,https://ae.2miners.com/,https://miningpoolstats.stream/aeternity,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for aeternity.
2miners.com,solo-ae.2miners.com,https://solo-ae.2miners.com/,https://miningpoolstats.stream/aeternity,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for aeternity.
51pool,51pool.online,https://51pool.online/,https://minerstat.com/pools/51pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
6Block,6block.com,https://6block.com/,https://minerstat.com/pools/6block,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
AAPool,aapool.cn,https://aapool.cn/,https://minerstat.com/pools/aapool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
Abel Nakamoto,abel-nakamoto.xyz,https://abel-nakamoto.xyz/,https://miningpoolstats.stream/abelian,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for abelian.
Abelpool,abelpool.io,https://abelpool.io/,https://miningpoolstats.stream/abelian,https://miningpoolstats.stream/sitemap.xml,directory,candidate,2026-04-17,2026-04-17,Pool website URL extracted from MiningPoolStats data file for abelian.
acc-pool,acc-pool.pw,https://acc-pool.pw/,https://minerstat.com/pools/acc-pool,https://minerstat.com/pools,directory,candidate,2026-04-17,2026-04-17,Official website link extracted from minerstat mining pools directory profile.
