domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
etc.2miners.com,1010,stratum+tcp,2Miners,ETC,Etchash,Global,official,https://2miners.com/faq; https://etc.2miners.com/; https://etc.2miners.com/#pools; https://etc.2miners.com/faq,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain 2miners.com.
ethw.2miners.com,12020,stratum+ssl,2Miners,ETHW,Ethash,Global,official,https://2miners.com/faq,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain 2miners.com.
rvn.2miners.com,6060,stratum+tcp,2Miners,RVN,KawPoW,Global,official,https://2miners.com/rvn-mining-pool; https://rvn.2miners.com/; https://rvn.2miners.com/#pools,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain 2miners.com.
rvn.2miners.com,16060,stratum+ssl,2Miners,RVN,KawPoW,Global,official,https://2miners.com/faq; https://ae.2miners.com/faq; https://bch.2miners.com/faq; https://beam.2miners.com/faq; https://btg.2miners.com/faq; https://ckb.2miners.com/faq; https://ctxc.2miners.com/faq; https://erg.2miners.com/faq; https://etc.2miners.com/faq; https://ethw.2miners.com/faq; https://grin.2miners.com/faq; https://kas.2miners.com/faq; https://mwc.2miners.com/faq; https://neox.2miners.com/faq; https://nexa.2miners.com/faq; https://quaikawpow.2miners.com/faq; https://quaisha.2miners.com/faq; https://rvn.2miners.com/faq; https://solo-ae.2miners.com/faq; https://solo-bch.2miners.com/faq; https://solo-beam.2miners.com/faq; https://solo-btc.2miners.com/faq; https://solo-btg.2miners.com/faq; https://solo-ckb.2miners.com/faq; https://solo-ctxc.2miners.com/faq; https://solo-erg.2miners.com/faq; https://solo-etc.2miners.com/faq; https://solo-ethw.2miners.com/faq; https://solo-grin.2miners.com/faq; https://solo-kas.2miners.com/faq; https://solo-mwc.2miners.com/faq; https://solo-neox.2miners.com/faq; https://solo-nexa.2miners.com/faq; https://solo-quaikawpow.2miners.com/faq; https://solo-quaisha.2miners.com/faq; https://solo-rvn.2miners.com/faq; https://solo-xna.2miners.com/faq; https://solo-zec.2miners.com/faq; https://solo-zeph.2miners.com/faq; https://xna.2miners.com/faq; https://zec.2miners.com/faq; https://zeph.2miners.com/faq,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain 2miners.com.
clo.2miners.com,3030,stratum+tcp,2Miners,UNKNOWN,UNKNOWN,Global,official,https://2miners.com/faq; https://ae.2miners.com/faq; https://bch.2miners.com/faq; https://beam.2miners.com/faq; https://btg.2miners.com/faq; https://ckb.2miners.com/faq; https://ctxc.2miners.com/faq; https://erg.2miners.com/faq; https://etc.2miners.com/faq; https://ethw.2miners.com/faq; https://grin.2miners.com/faq; https://kas.2miners.com/faq; https://mwc.2miners.com/faq; https://neox.2miners.com/faq; https://nexa.2miners.com/faq; https://quaikawpow.2miners.com/faq; https://quaisha.2miners.com/faq; https://rvn.2miners.com/faq; https://solo-ae.2miners.com/faq; https://solo-bch.2miners.com/faq; https://solo-beam.2miners.com/faq; https://solo-btc.2miners.com/faq; https://solo-btg.2miners.com/faq; https://solo-ckb.2miners.com/faq; https://solo-ctxc.2miners.com/faq; https://solo-erg.2miners.com/faq; https://solo-etc.2miners.com/faq; https://solo-ethw.2miners.com/faq; https://solo-grin.2miners.com/faq; https://solo-kas.2miners.com/faq; https://solo-mwc.2miners.com/faq; https://solo-neox.2miners.com/faq; https://solo-nexa.2miners.com/faq; https://solo-quaikawpow.2miners.com/faq; https://solo-quaisha.2miners.com/faq; https://solo-rvn.2miners.com/faq; https://solo-xna.2miners.com/faq; https://solo-zec.2miners.com/faq; https://solo-zeph.2miners.com/faq; https://xna.2miners.com/faq; https://zec.2miners.com/faq; https://zeph.2miners.com/faq,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain 2miners.com.
eth.2miners.com,2020,stratum+tcp,2Miners,UNKNOWN,UNKNOWN,Global,official,https://2miners.com/faq; https://ae.2miners.com/faq; https://bch.2miners.com/faq; https://beam.2miners.com/faq; https://btg.2miners.com/faq; https://ckb.2miners.com/faq; https://ctxc.2miners.com/faq; https://erg.2miners.com/faq; https://etc.2miners.com/faq; https://ethw.2miners.com/faq; https://grin.2miners.com/faq; https://kas.2miners.com/faq; https://mwc.2miners.com/faq; https://neox.2miners.com/faq; https://nexa.2miners.com/faq; https://quaikawpow.2miners.com/faq; https://quaisha.2miners.com/faq; https://rvn.2miners.com/faq; https://solo-ae.2miners.com/faq; https://solo-bch.2miners.com/faq; https://solo-beam.2miners.com/faq; https://solo-btc.2miners.com/faq; https://solo-btg.2miners.com/faq; https://solo-ckb.2miners.com/faq; https://solo-ctxc.2miners.com/faq; https://solo-erg.2miners.com/faq; https://solo-etc.2miners.com/faq; https://solo-ethw.2miners.com/faq; https://solo-grin.2miners.com/faq; https://solo-kas.2miners.com/faq; https://solo-mwc.2miners.com/faq; https://solo-neox.2miners.com/faq; https://solo-nexa.2miners.com/faq; https://solo-quaikawpow.2miners.com/faq; https://solo-quaisha.2miners.com/faq; https://solo-rvn.2miners.com/faq; https://solo-xna.2miners.com/faq; https://solo-zec.2miners.com/faq; https://solo-zeph.2miners.com/faq; https://xna.2miners.com/faq; https://zec.2miners.com/faq; https://zeph.2miners.com/faq,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain 2miners.com.
zec.2miners.com,1010,stratum+tcp,2Miners,ZEC,Equihash,Global,official,https://2miners.com/faq; https://ae.2miners.com/faq; https://bch.2miners.com/faq; https://beam.2miners.com/faq; https://btg.2miners.com/faq; https://ckb.2miners.com/faq; https://ctxc.2miners.com/faq; https://erg.2miners.com/faq; https://etc.2miners.com/faq; https://ethw.2miners.com/faq; https://grin.2miners.com/faq; https://kas.2miners.com/faq; https://mwc.2miners.com/faq; https://neox.2miners.com/faq; https://nexa.2miners.com/faq; https://quaikawpow.2miners.com/faq; https://quaisha.2miners.com/faq; https://rvn.2miners.com/faq; https://solo-ae.2miners.com/faq; https://solo-bch.2miners.com/faq; https://solo-beam.2miners.com/faq; https://solo-btc.2miners.com/faq; https://solo-btg.2miners.com/faq; https://solo-ckb.2miners.com/faq; https://solo-ctxc.2miners.com/faq; https://solo-erg.2miners.com/faq; https://solo-etc.2miners.com/faq; https://solo-ethw.2miners.com/faq; https://solo-grin.2miners.com/faq; https://solo-kas.2miners.com/faq; https://solo-mwc.2miners.com/faq; https://solo-neox.2miners.com/faq; https://solo-nexa.2miners.com/faq; https://solo-quaikawpow.2miners.com/faq; https://solo-quaisha.2miners.com/faq; https://solo-rvn.2miners.com/faq; https://solo-xna.2miners.com/faq; https://solo-zec.2miners.com/faq; https://solo-zeph.2miners.com/faq; https://xna.2miners.com/faq; https://zec.2miners.com/; https://zec.2miners.com/#pools; https://zec.2miners.com/faq; https://zeph.2miners.com/faq,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain 2miners.com.
bch.2miners.com,7070,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://bch.2miners.com/; https://bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain bch.2miners.com.
bch.2miners.com,7171,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://bch.2miners.com/; https://bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain bch.2miners.com.
bch.2miners.com,7272,stratum+tcp,2miners.com,BCH,SHA-256,Global,official,https://bch.2miners.com/; https://bch.2miners.com/#pools,confirmed,active,2026-04-21,2026-04-21,Discovered by shallow crawling official website domain bch.2miners.com.
