domain,port,scheme,pool_name,coin,algorithm,region,source_type,source_url,confidence,status,first_seen,last_seen,notes
bch.0x.al,3533,stratum+tcp,0x.al,BCH,SHA-256,Global,official,https://0x.al/,confirmed,active,2026-08-10,2026-08-10,Discovered by shallow crawling official website domain 0x.al. auto_source=official_site_crawl
asia-erg.2miners.com,8888,stratum+tcp,2Miners,ERG,Autolykos v2,Asia,official,https://erg.2miners.com/help,confirmed,active,2026-04-21,2026-08-10,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources
asia-erg.2miners.com,18888,stratum+ssl,2Miners,ERG,Autolykos v2,Asia,official,https://erg.2miners.com/help,confirmed,active,2026-04-21,2026-08-10,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources
erg.2miners.com,8888,stratum+tcp,2Miners,ERG,Autolykos v2,Europe,official,https://erg.2miners.com/help; https://erg.2miners.com/; https://erg.2miners.com/#pools; https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json.bak_ascii,confirmed,active,2026-04-17,2026-08-10,Official 2Miners ERG pool endpoint. | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain erg.2miners.com. auto_source=official_site_crawl | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain erg.2miners.com. auto_source=official_site_crawl | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by shallow crawling official website domain erg.2miners.com. auto_source=official_site_crawl | Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion.
erg.2miners.com,18888,stratum+ssl,2Miners,ERG,Autolykos v2,Europe,official,https://erg.2miners.com/help,confirmed,active,2026-04-17,2026-08-10,Official 2Miners ERG SSL endpoint. | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_
us-erg.2miners.com,8888,stratum+tcp,2Miners,ERG,Autolykos v2,USA,official,https://erg.2miners.com/help; https://erg.2miners.com/,confirmed,active,2026-04-17,2026-08-10,Official 2Miners ERG regional endpoint. | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources | Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table.
us-erg.2miners.com,18888,stratum+ssl,2Miners,ERG,Autolykos v2,USA,official,https://erg.2miners.com/help,confirmed,active,2026-04-21,2026-08-10,Discovered by 2miners_erg_help using html_stratum_extract. Official ERG setup and server table. auto_source=priority_sources
etc.2miners.com,1010,stratum+tcp,2Miners,ETC,Etchash,Global,official,https://2miners.com/faq; https://etc.2miners.com/; https://etc.2miners.com/#pools; https://etc.2miners.com/faq; https://github.com/DcTyle/QuantumMiner/blob/f6c71b9eb895631983852fa2e96be30293836cbb/miner/miner_runtime_config.json.bak_ascii; https://2miners.com/etc-mining-pool,confirmed,active,2026-04-21,2026-08-10,Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion. auto_source=github_code_search | Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion. auto_source=github_code_search | Discovered by shallow crawling official website domain 2miners.com. auto_source=official_site_crawl | Extracted from public GitHub code search query stratum_tcp_json; repo=DcTyle/QuantumMiner; path=miner/miner_runtime_config.json.bak_ascii; review before promotion. auto_source=github_code_search | Dis
asia-ethw.2miners.com,2020,stratum+tcp,2Miners,ETHW,Ethash,Asia,official,https://ethw.2miners.com/help,confirmed,active,2026-04-21,2026-08-10,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources
asia-ethw.2miners.com,12020,stratum+ssl,2Miners,ETHW,Ethash,Asia,official,https://ethw.2miners.com/help,confirmed,active,2026-04-21,2026-08-10,Discovered by 2miners_ethw_help using html_stratum_extract. Official ETHW setup and server table. auto_source=priority_sources
